started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1361276676241
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1361276676430
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1361276676702
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1361276676730
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1361276676992
error,log,,,"Unhandled event loop exception",1361276677385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361276679923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361276743563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361276744513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361276763785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361276767846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361277065847
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361277088504
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361277088561
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1361277089071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361277119310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361289399889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361289400401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361290812945
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361290815332
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361290815388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361290830794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361290835540
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1361290849547
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1361290849586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1361290851242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1361290863472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361290868215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361291347045
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361291348490
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361291377851
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361291377898
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1361291384755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361291405593
